Domain,Status,Attractiveness,Demand,Length,Sectors,Created,Expires,Registrar
brief.soccer,available,124,19%,5,"Business,Education,General,Law",,,
second.soccer,available,120,23%,6,"General,Mathematics",,,
wizard.soccer,available,118,42%,6,"Entertainment,Media,Technology",,,
flat.soccer,available,116,24%,4,"Construction,Real Estate",,,
tenth.soccer,available,116,7%,5,Mathematics,,,
equal.soccer,available,116,19%,5,"Education,General,Law",,,
tonic.soccer,available,114,22%,5,"Health and Fitness,Medicine,Science",,,
zero.soccer,available,112,49%,4,Mathematics,,,
hotshot.soccer,available,112,14%,7,"Business,Entertainment,Sports",,,
above.soccer,expired,112,22%,5,Business,03/06/2023 02:13,03/06/2025 02:13,"NameCheap, Inc."
acute.soccer,available,112,9%,5,"Mathematics,Medicine,Science",,,
abstract.soccer,available,108,29%,8,"Arts,Humanities,Science",,,
abiding.soccer,available,106,5%,7,"General,Religion",,,
expert.soccer,available,104,26%,6,"Business,Education,Technology",,,
active.soccer,available,104,27%,6,"Health and Fitness,Sports,Travel",,,
teen.soccer,available,104,14%,4,"Education,Entertainment,Healthcare",,,
captive.soccer,available,102,14%,7,"Entertainment,Hospitality,Technology",,,
absent.soccer,available,102,8%,6,"Business,Education,Technology",,,
eight.soccer,available,102,23%,5,"General,Mathematics",,,
extra.soccer,available,102,26%,5,"Fashion,Retail,Technology",,,
remove.soccer,available,100,13%,6,"Construction,Manufacturing,Technology",,,
third.soccer,available,100,16%,5,Mathematics,,,
sixth.soccer,available,100,8%,5,Mathematics,,,
whiz.soccer,available,100,12%,4,"Business,Education,Technology",,,
ninth.soccer,available,100,9%,5,Mathematics,,,
crack.soccer,available,100,20%,5,Sports,,,
abrupt.soccer,available,100,3%,6,"Medicine,Science",,,
adjunct.soccer,available,100,5%,7,Education,,,
eighth.soccer,available,100,6%,6,Mathematics,,,
whizz.soccer,available,98,11%,5,"Business,Education,Technology",,,
genius.soccer,available,98,46%,6,"Arts,Education,Technology",,,
alamode.soccer,available,96,12%,9,Fashion,,,
doable.soccer,available,96,9%,6,"Business,Education,Technology",,,
academic.soccer,available,96,20%,8,"Education,Humanities,Science",,,
actual.soccer,available,96,22%,6,"Real Estate,Retail,Technology",,,
forgiving.soccer,available,96,3%,9,"Healthcare,Religion",,,
abject.soccer,available,94,7%,6,Humanities,,,
virtuoso.soccer,available,94,16%,8,"Arts,Entertainment",,,
adequate.soccer,available,94,9%,8,"Education,Healthcare,Technology",,,
about.soccer,available,94,28%,5,"Business,General,Media,Technology",,,
around.soccer,available,94,22%,6,"Business,General,Media,Technology",,,
exemplary.soccer,available,92,5%,9,"Business,Education,Healthcare",,,
neutral.soccer,available,92,20%,7,"Business,Media,Politics",,,
next.soccer,available,92,43%,4,"Retail,Technology,Transportation",,,
twentieth.soccer,available,92,3%,9,Mathematics,,,
adjective.soccer,available,92,5%,9,Education,,,
derelict.soccer,available,92,7%,8,"Construction,Real Estate",,,
adept.soccer,available,92,24%,5,"Education,Health and Fitness,Sports",,,
abroad.soccer,available,92,12%,6,"Hospitality,Travel",,,
nought.soccer,available,92,4%,6,Mathematics,,,
gripping.soccer,available,90,3%,8,"Entertainment,Media,Technology",,,
additional.soccer,available,90,8%,10,"Fashion,Retail,Technology",,,
addictive.soccer,available,90,9%,9,Healthcare,,,
clear.soccer,available,90,47%,5,"Manufacturing,Retail,Technology",,,
abortive.soccer,available,90,1%,8,"Medicine,Science",,,
adoring.soccer,available,90,2%,7,"Entertainment,Fashion,Retail",,,
riveting.soccer,available,90,6%,8,"Entertainment,Media,Technology",,,
leash.soccer,available,90,7%,5,"General,Health and Fitness,Retail",,,
endearing.soccer,available,90,1%,9,"Entertainment,Fashion,Retail",,,
wide.soccer,available,88,18%,4,"Business,Media,Technology",,,
ten.soccer,available,88,28%,3,"General,Mathematics",,,
actionable.soccer,available,88,13%,10,"Business,Law",,,
proficient.soccer,available,88,8%,10,"Education,Health and Fitness,Sports",,,
ace.soccer,available,88,34%,3,Sports,,,
sixteen.soccer,available,88,11%,7,Mathematics,,,
eleven.soccer,available,88,33%,6,Mathematics,,,
twelve.soccer,available,88,18%,6,"General,Mathematics",,,
adlib.soccer,available,88,7%,6,Entertainment,,,
activist.soccer,available,88,12%,8,"Humanities,Politics",,,
fifteen.soccer,available,88,13%,7,Mathematics,,,
three.soccer,available,88,24%,5,Mathematics,,,
hundred.soccer,available,88,14%,7,Mathematics,,,
adolescent.soccer,available,86,3%,10,"Education,Entertainment,Healthcare",,,
attendant.soccer,available,86,5%,9,"Healthcare,Hospitality,Transportation",,,
cipher.soccer,available,86,29%,6,Mathematics,,,
recondite.soccer,available,86,4%,9,"Arts,Humanities,Science",,,
engrossing.soccer,available,86,0%,10,"Entertainment,Media,Technology",,,
extempore.soccer,available,86,3%,9,Entertainment,,,
intent.soccer,available,86,25%,6,"Business,Education,Technology",,,
aboriginal.soccer,available,86,10%,10,Humanities,,,
xiv.soccer,available,86,12%,3,Mathematics,,,
xix.soccer,available,86,11%,3,Mathematics,,,
deviate.soccer,available,84,12%,7,"Medicine,Science",,,
accessory.soccer,available,84,8%,9,"Fashion,Retail,Technology",,,
sharp.soccer,available,84,34%,5,"Arts,Fashion",,,
seventeen.soccer,available,84,7%,9,Mathematics,,,
acting.soccer,available,84,12%,6,Entertainment,,,
nineteen.soccer,available,84,8%,8,Mathematics,,,
grand.soccer,available,84,25%,5,"Finance,General",,,
adjustable.soccer,available,84,3%,10,"Manufacturing,Retail,Technology",,,
thousand.soccer,available,84,8%,8,Mathematics,,,
twentytwo.soccer,available,84,11%,10,Mathematics,,,
thirteen.soccer,available,84,10%,8,Mathematics,,,
fourteen.soccer,available,84,8%,8,Mathematics,,,
twentyone.soccer,available,84,13%,10,Mathematics,,,
impromptu.soccer,available,82,16%,9,Entertainment,,,
altered.soccer,available,82,9%,7,"Medicine,Science",,,
abroach.soccer,available,82,1%,7,Food and Beverage,,,
decade.soccer,available,82,10%,6,Mathematics,,,
good.soccer,available,82,47%,4,"Food and Beverage,General,Health and Fitness,Retail",,,
abenaki.soccer,available,82,2%,7,Geography,,,
enduring.soccer,available,82,9%,8,"Health and Fitness,Religion",,,
dozen.soccer,available,82,10%,5,Mathematics,,,
fivesome.soccer,available,82,1%,8,Sports,,,
abkhaz.soccer,available,82,1%,6,Geography,,,
absorbent.soccer,available,82,3%,9,"Healthcare,Manufacturing,Retail",,,
cleansing.soccer,available,82,3%,9,Health and Fitness,,,
abdominal.soccer,available,82,1%,9,"Health and Fitness,Medicine",,,
forty.soccer,available,80,9%,5,Mathematics,,,
capable.soccer,available,80,12%,7,"Business,Education,Technology",,,
worshipful.soccer,available,80,1%,10,"Education,Healthcare,Religion",,,
absurd.soccer,available,80,16%,6,"Arts,Entertainment,Media",,,
two.soccer,available,80,24%,3,Mathematics,,,
wiz.soccer,available,80,30%,3,"Business,Education,Technology",,,
